,Model,Scaler,Depth,Accuracy,Accuracy Variance,Precision,Precision Variance,Recall,Recall Variance,F1,F1 Variance
10,DecisionTreeClassifier,MinMax,3,0.8956609894566099,5.885211444812224e-06,0.6694604786448908,0.0004738574216633121,0.6382071211658695,0.0005377990584248843,0.652870483605023,8.129861208853228e-05
11,DecisionTreeClassifier,MinMax,4,0.8988645579886456,2.48563851273598e-05,0.7011171948789027,0.0015803091851640748,0.5811064454675656,0.002273668585163358,0.6331344022136687,0.0004558840044773775
12,DecisionTreeClassifier,MinMax,5,0.8988645579886456,3.1945680503290274e-05,0.7386484404295487,0.0005723851250846043,0.5496873285666241,0.0014585852397216933,0.6292700534146695,0.000543462810044456
13,DecisionTreeClassifier,MinMax,6,0.8979724249797243,9.362255027388358e-06,0.7110916972927855,0.0010453863348561263,0.5671139587643621,0.0015044115800550144,0.6297814089902689,0.0005025026812927496
14,DecisionTreeClassifier,StandardMinMax,3,0.8892538523925385,7.50021870841665e-05,0.6683845854943102,0.0019883023807457955,0.5890291245898115,0.006182370667780291,0.6212209807752936,0.0019938369899899656
15,DecisionTreeClassifier,StandardMinMax,4,0.8979724249797243,2.9935828721454616e-05,0.6940539706528198,0.001179054515877208,0.5860610781720828,0.003355083797732873,0.6333247685778325,0.001112978117394507
16,DecisionTreeClassifier,StandardMinMax,5,0.9009326845093268,4.060083313106918e-05,0.7164372942564957,0.002118256714214947,0.5927180885242266,0.0021303273379986274,0.6465724804141748,0.0004917722011049024
17,DecisionTreeClassifier,StandardMinMax,6,0.8943633414436334,6.479944858437375e-05,0.6977384784312466,0.0007910389933988936,0.5479561234885506,0.0009282004876075866,0.6135373543294829,0.0007158335508010189
18,DecisionTreeClassifier,StandardRobustMinMax,3,0.8956609894566099,1.7432723500451483e-05,0.6698210370824754,0.0004626509086604762,0.6427986827709142,0.00015577185165645198,0.6558288436719241,0.00015541946098843277
19,DecisionTreeClassifier,StandardRobustMinMax,4,0.8961070559610705,4.084749675883998e-05,0.6900070829130924,0.0008754910860840428,0.5947074596961419,0.000661288061075137,0.6380705571510303,0.00022218075535274922
20,DecisionTreeClassifier,StandardRobustMinMax,5,0.8954176804541768,6.937460209502575e-05,0.7098852034090448,0.001025839553967069,0.5607531887624493,0.004405772568544608,0.623532993352083,0.0015489280472653533
21,DecisionTreeClassifier,StandardRobustMinMax,6,0.894809407948094,3.337084813041026e-05,0.6998165521454138,0.0005241673239206419,0.5752104342570269,0.0008841493972234936,0.6306569756997829,0.0002287656925398607
22,DecisionTreeClassifier,RobustMinMax,3,0.8942011354420113,4.697389041747275e-05,0.6673130878135591,0.0005665134322774268,0.6289711776022743,0.001323268949932001,0.6472095182119427,0.0007139560404750551
23,DecisionTreeClassifier,RobustMinMax,4,0.8968775344687754,3.040540318321046e-05,0.694457881378824,0.00043596634389667663,0.575623161647768,0.002887498354935212,0.6280898440399832,0.0011806277900965458
24,DecisionTreeClassifier,RobustMinMax,5,0.8999188969991889,1.884875543765419e-05,0.7233173788631153,0.0010430675123335722,0.5767344729552869,0.0019072504370958602,0.6399912377279517,0.00037847107083094426
25,DecisionTreeClassifier,RobustMinMax,6,0.8985401459854014,2.9555784020888915e-05,0.6953943472526154,0.001204446524264628,0.5918294190562413,0.00041360287586561913,0.6388404175999848,0.00028433190249893206
26,DecisionTreeClassifier,RobustStandardMinMax,3,0.8930656934306569,0.00013378487028891666,0.6767585253652789,0.001632316219068856,0.6353601862040179,0.002594428909988507,0.6546849356365315,0.0017461353537819148
27,DecisionTreeClassifier,RobustStandardMinMax,4,0.8986212489862124,3.35827961364947e-05,0.7113653910884737,0.0007976841497080999,0.5867171258548711,0.003512045072016387,0.6408882587943502,0.0010129878246245118
28,DecisionTreeClassifier,RobustStandardMinMax,5,0.8992295214922952,2.6100666094114772e-05,0.7131119326100137,0.0010234097369980829,0.5814815641536734,0.000442170525780632,0.6399393258283156,0.000199458219218812
29,DecisionTreeClassifier,RobustStandardMinMax,6,0.8967964314679643,1.8097801726440793e-05,0.7000830880102333,0.0004804954913933307,0.5680180252386492,0.000573018349038563,0.626737617362485,0.0002514169386895611
30,DecisionTreeClassifier,No Scaling,3,0.8925790754257907,1.5547117101492608e-05,0.6643841530482073,0.0002547935483336341,0.617371888870981,0.0025437805049602666,0.638785720561073,0.0007866231705262942
31,DecisionTreeClassifier,No Scaling,4,0.8943227899432279,2.5550697561085152e-05,0.6939633446507688,0.0014567851003101683,0.5975408803221506,0.0018964392676720575,0.6402489949964929,0.0004828250764913358
32,DecisionTreeClassifier,No Scaling,5,0.8992700729927007,4.940581107349396e-06,0.7139443667766475,0.0006012847334562215,0.5981586162250281,0.0016057776803376567,0.6496908337967279,0.0003714960242603822
33,DecisionTreeClassifier,No Scaling,6,0.8997566909975669,3.9203072573701684e-05,0.7073457933616362,0.0006082659172101894,0.5692452673709235,0.0018974961171203404,0.6294929958327773,0.0005215339279972881
34,MyDecisionTree,MinMax,3,0.8964720194647202,5.276957210109414e-05,0.6842081798302628,0.00047817498556561604,0.6441522205600327,0.0014927753478020513,0.6633218180392433,0.000868748598851643
35,MyDecisionTree,MinMax,4,0.8948499594484997,2.7701238967649523e-05,0.6912611571625966,0.0015177323034120615,0.5673661403679211,0.0014038794454030586,0.6216022397863212,0.0003475429358497726
36,MyDecisionTree,MinMax,5,0.8854420113544201,3.256873455565933e-05,0.6375901139706744,0.0009482887102135635,0.5860783616450814,0.002566009499707452,0.6087975355817135,0.0005813262751142841
37,MyDecisionTree,MinMax,6,0.8616788321167883,8.96558337117334e-05,0.5616456966405375,0.0012161480595844344,0.5579649923786457,0.0013835756543100972,0.5588002276982679,0.0006646933958765101
38,MyDecisionTree,StandardMinMax,3,0.8908353609083536,0.00015402042345603734,0.6607670292704314,0.0019382041503432344,0.5877730470709136,0.017591829512837345,0.6156151327142895,0.011751666465368219
39,MyDecisionTree,StandardMinMax,4,0.8922952149229522,0.00019105285610535597,0.6723420312124266,0.003638610135670263,0.5668572766486997,0.005291421492648604,0.6114592386909826,0.002054356343969789
40,MyDecisionTree,StandardMinMax,5,0.8835360908353609,2.5938050813584468e-05,0.6312148626023532,0.00079594765413502,0.5827636584463466,0.0013703957831803315,0.6050233744306448,0.0005039706712365435
41,MyDecisionTree,StandardMinMax,6,0.8658556366585564,0.00013125428418178677,0.5715606750240914,0.0019195932309853858,0.5702809720818506,0.0024057562614595,0.5695090115538737,0.0013047568557746356
42,MyDecisionTree,StandardRobustMinMax,3,0.8940389294403893,3.1684399771651435e-05,0.6729862386756912,0.0004018000624109941,0.6190297392816456,0.00537696811957792,0.6419306211391573,0.0019289651865475293
43,MyDecisionTree,StandardRobustMinMax,4,0.8911192214111923,5.5736844186277045e-05,0.6751341518007682,0.00316975122915571,0.569701449608503,0.0026625591962640455,0.6143809527726862,0.0006253973651089311
44,MyDecisionTree,StandardRobustMinMax,5,0.8800486618004867,5.8022593803619713e-05,0.6306890955388602,0.001075962740830378,0.5689128724538017,0.0028634572717503486,0.5964916479744833,0.0009779858642135666
45,MyDecisionTree,StandardRobustMinMax,6,0.8672343876723438,0.00014497243616180878,0.5683376179794406,0.0017370178995966404,0.5789857323686138,0.0012465527809549317,0.5730193524820965,0.0011011757154930858
46,MyDecisionTree,RobustMinMax,3,0.8999594484995945,7.473177066260993e-05,0.6879272023472012,0.0010508728604563865,0.6301021422388018,0.003018938228275861,0.6559136110798667,0.0009203336002314933
47,MyDecisionTree,RobustMinMax,4,0.8942416869424169,4.0372440883133094e-05,0.6971328413553679,0.000839077841318051,0.5646851259326129,0.002226184586784648,0.6224959610640103,0.0008453250265620692
48,MyDecisionTree,RobustMinMax,5,0.8810624493106245,3.508287642093778e-05,0.6374017576891026,0.0005635990142897079,0.5983660635595862,0.0015677013954720014,0.6161725748375281,0.0003946085082433284
49,MyDecisionTree,RobustMinMax,6,0.8665450121654501,8.326085076952845e-05,0.5681125860464772,0.0005922986447159339,0.5674164049174453,0.0016256538328464447,0.5669710172204369,0.0006207683679186803
50,MyDecisionTree,RobustStandardMinMax,3,0.9004866180048662,2.471021408868113e-05,0.6788629669319866,0.00030383189731432886,0.6539984823564662,0.0019871743221795703,0.6653148428587363,0.0006518028053366385
51,MyDecisionTree,RobustStandardMinMax,4,0.8905920519059205,5.9630475229088466e-05,0.6852176277673385,0.0013641357211506356,0.558218395834827,0.005129739156834097,0.6119408160871583,0.0018180584736509921
52,MyDecisionTree,RobustStandardMinMax,5,0.8843065693430657,3.2890310840753235e-05,0.6361502448709337,0.0004841961471576467,0.5977299273535901,0.003361233484345354,0.6149230254104209,0.0010667554945619315
53,MyDecisionTree,RobustStandardMinMax,6,0.8579480940794809,0.0005262906519016384,0.5493961418404482,0.006815018602433277,0.559202175996065,0.0019566642073227504,0.549542967454979,0.0019375803729203623
54,MyDecisionTree,No Scaling,3,0.8952554744525547,7.389128719020598e-05,0.6725730796795673,0.0009820187127991702,0.6133801573887805,0.0046781794262709345,0.6392872828826951,0.0018388579917057815
55,MyDecisionTree,No Scaling,4,0.889294403892944,1.995234677968043e-05,0.6843567149046359,0.0013779197640033764,0.5480877076796131,0.002041563132334262,0.6075489009198848,0.0011122195511681914
56,MyDecisionTree,No Scaling,5,0.8839010543390106,0.00011383252350923662,0.6308919349826284,0.0024675086677993013,0.5931664529692003,0.0017041497633432127,0.6095296963142317,0.0007950574483888734
57,MyDecisionTree,No Scaling,6,0.8699107866991079,0.0001525587130692475,0.5813765321930425,0.001917328653914545,0.5785119159884802,0.0014870700258880199,0.5785518181174282,0.0008813548183097826
